ImageId,fold
20190822163021_20190822163304_tile_8457,4
20190822083256_20190822083600_tile_10914,4
20190822144546_20190822144829_tile_7603,2
20190823101748_20190823102106_tile_9446,3
20190822155902_20190822160145_tile_876,0
20190823153025_20190823153316_tile_5070,3
20190822144046_20190822144338_tile_1479,4
20190822145832_20190822150114_tile_9606,1
20190823094036_20190823094408_tile_10262,3
20190822102956_20190822103254_tile_4104,4
20190823083119_20190823083425_tile_2084,2
20190823100116_20190823100432_tile_2364,1
20190804145216_20190804145445_tile_6512,3
20190804124148_20190804124417_tile_1329,0
20190823125228_20190823125530_tile_8572,4
20190822082047_20190822082347_tile_4320,1
20190822093113_20190822093410_tile_499,2
20190823065021_20190823065333_tile_9168,3
20190804120805_20190804121023_tile_6211,3
20190823150417_20190823150712_tile_10316,1
20190823124221_20190823124528_tile_9873,0
20190823143102_20190823143400_tile_5987,3
20190822065241_20190822065541_tile_2581,1
20190823145306_20190823145612_tile_7214,3
20190822152811_20190822153054_tile_17,2
20190823074455_20190823074758_tile_10206,4
20190822153558_20190822153835_tile_2536,2
20190823090045_20190823090358_tile_1003,4
20190822084703_20190822085003_tile_1369,3
20190822162246_20190822162529_tile_7643,2
20190823065021_20190823065333_tile_9171,4
20190804143251_20190804143533_tile_329,0
20190822161458_20190822161736_tile_8410,2
20190823124735_20190823125042_tile_2254,4
20190823083559_20190823083940_tile_5930,1
20190823160351_20190823160645_tile_8201,0
20190804142149_20190804142420_tile_9106,3
20190822145832_20190822150114_tile_9607,3
20190823075318_20190823075613_tile_5283,4
20190822162246_20190822162529_tile_7651,2
20190823161806_20190823162129_tile_2745,3
20190822152811_20190822153054_tile_15,4
20190804141038_20190804141312_tile_9061,3
20190822161458_20190822161736_tile_8419,2
20190822072817_20190822073109_tile_10132,3
20190823070415_20190823070716_tile_6368,0
20190822151523_20190822151826_tile_2900,1
20190804120223_20190804120456_tile_62,3
20190823150417_20190823150712_tile_10312,3
20190822164803_20190822165101_tile_4214,3
20190804135937_20190804140208_tile_6558,0
20190823080717_20190823081024_tile_3060,1
20190804141038_20190804141312_tile_9052,0
20190823095600_20190823095931_tile_10990,2
20190804141608_20190804141830_tile_5332,4
20190823153931_20190823154211_tile_6415,0
20190804142149_20190804142420_tile_9103,2
20190822081617_20190822081907_tile_9809,4
20190823131744_20190823132104_tile_3500,3
20190823101748_20190823102106_tile_9449,3
20190823095600_20190823095931_tile_10980,0
20190822150221_20190822150509_tile_8524,2
20190822164304_20190822164613_tile_3399,2
20190823125228_20190823125530_tile_8574,0
20190823075318_20190823075613_tile_5279,4
20190822164304_20190822164613_tile_3403,4
20190822100114_20190822100413_tile_669,2
20190823123151_20190823123459_tile_2305,2
20190823080230_20190823080526_tile_1969,0
20190804135937_20190804140208_tile_6561,2
20190822070610_20190822070846_tile_3719,2
20190823131240_20190823131533_tile_7533,4
20190823135139_20190823135448_tile_1421,4
20190822144546_20190822144829_tile_7599,0
20190823071331_20190823071608_tile_825,1
20190804115211_20190804115445_tile_8039,3
20190823083559_20190823083940_tile_5925,3
20190822074237_20190822074521_tile_4758,0
20190804111224_20190804111453_tile_8683,3
20190823093023_20190823093332_tile_8955,1
20190823093023_20190823093332_tile_8949,2
20190822163021_20190822163304_tile_8470,0
20190804125251_20190804125541_tile_6880,3
20190823071743_20190823072036_tile_2632,4
20190822100953_20190822101249_tile_8852,0
20190823095600_20190823095931_tile_10988,0
20190823082625_20190823082938_tile_455,0
20190823153502_20190823153756_tile_3829,0
20190822075657_20190822080002_tile_10697,0
20190823140636_20190823140937_tile_10435,0
20190822102427_20190822102736_tile_6102,0
20190822164803_20190822165101_tile_4209,4
20190822154658_20190822154950_tile_9396,3
20190823091132_20190823091448_tile_7919,3
20190823093548_20190823093858_tile_5499,0
20190822075219_20190822075510_tile_8143,0
20190822075219_20190822075510_tile_8141,2
20190822093113_20190822093410_tile_508,4
20190823135139_20190823135448_tile_1423,1
20190822152355_20190822152652_tile_3993,0
20190822100114_20190822100413_tile_674,4
20190822092149_20190822092450_tile_1702,4
20190823092528_20190823092835_tile_1206,2
20190822101929_20190822102224_tile_10369,0
20190822093113_20190822093410_tile_512,3
20190822151523_20190822151826_tile_2916,0
20190823090554_20190823090904_tile_5028,0
20190823154802_20190823155103_tile_9771,0
20190822085151_20190822085445_tile_551,4
20190804123018_20190804123239_tile_3010,2
20190804123018_20190804123239_tile_3020,1
20190823090045_20190823090358_tile_989,4
20190823100116_20190823100432_tile_2376,4
20190823133754_20190823134101_tile_282,4
20190822082047_20190822082347_tile_4328,0
20190804142149_20190804142420_tile_9117,3
20190823072627_20190823072925_tile_10475,2
20190804123018_20190804123239_tile_3016,4
20190823123717_20190823124038_tile_2687,2
20190823081159_20190823081456_tile_5218,1
20190823083119_20190823083425_tile_2091,2
20190804132031_20190804132301_tile_9501,1
20190822155502_20190822155747_tile_4657,0
20190822161045_20190822161339_tile_2484,1
20190804121331_20190804121610_tile_1645,2
20190823090045_20190823090358_tile_987,0
20190822162246_20190822162529_tile_7656,3
20190822082047_20190822082347_tile_4319,4
20190822101452_20190822101748_tile_4374,2
20190804114647_20190804114904_tile_6264,0
20190822152355_20190822152652_tile_3990,1
20190822164803_20190822165101_tile_4221,1
20190822070143_20190822070439_tile_7101,1
20190804135937_20190804140208_tile_6571,2
20190823083559_20190823083940_tile_5937,3
20190822155502_20190822155747_tile_4642,3
20190823101748_20190823102106_tile_9441,4
20190823095600_20190823095931_tile_10978,1
20190823091132_20190823091448_tile_7920,1
20190823160351_20190823160645_tile_8186,3
20190822084703_20190822085003_tile_1378,0
20190823093548_20190823093858_tile_5494,2
20190823151559_20190823151919_tile_5613,1
20190822085151_20190822085445_tile_561,3
20190823161806_20190823162129_tile_2731,1
20190823151153_20190823151440_tile_6055,4
20190823074455_20190823074758_tile_10191,3
20190823065021_20190823065333_tile_9162,3
20190823154802_20190823155103_tile_9762,1
20190822142505_20190822142747_tile_6833,0
20190822164803_20190822165101_tile_4205,0
20190823080230_20190823080526_tile_1976,0
20190822072404_20190822072642_tile_6769,4
20190823101748_20190823102106_tile_9439,3
20190823075755_20190823080053_tile_10761,1
20190822141600_20190822141831_tile_8894,2
20190822134835_20190822135131_tile_4486,4
20190823082625_20190823082938_tile_450,0
20190823073047_20190823073350_tile_7978,0
20190804132547_20190804132826_tile_10866,3
20190823132244_20190823132535_tile_2787,3
20190823085011_20190823085317_tile_6954,3
20190823152527_20190823152847_tile_5809,0
20190822071025_20190822071321_tile_719,1
20190822095638_20190822095937_tile_7439,4
20190822084226_20190822084526_tile_3219,0
20190823085011_20190823085317_tile_6940,3
20190823094552_20190823094850_tile_10603,0
20190823124735_20190823125042_tile_2252,0
20190823125228_20190823125530_tile_8571,2
20190823073047_20190823073350_tile_7981,1
20190823080717_20190823081024_tile_3064,3
20190822082538_20190822082826_tile_4151,1
20190823135623_20190823135909_tile_1106,4
20190822133333_20190822133635_tile_7754,0
20190823131744_20190823132104_tile_3510,4
20190822145832_20190822150114_tile_9602,2
20190823142603_20190823142913_tile_3567,0
20190822094509_20190822094813_tile_171,3
20190822164803_20190822165101_tile_4216,4
20190804141608_20190804141830_tile_5326,2
20190822080151_20190822080440_tile_620,0
20190822094509_20190822094813_tile_176,2
20190822101929_20190822102224_tile_10367,1
20190823073047_20190823073350_tile_7973,2
20190822102427_20190822102736_tile_6093,0
20190823153502_20190823153756_tile_3830,2
20190823160819_20190823161113_tile_11030,1
20190804144353_20190804144627_tile_9933,2
20190822162621_20190822162906_tile_5667,0
20190823081648_20190823081959_tile_4851,0
20190823123717_20190823124038_tile_2691,3
20190804125251_20190804125541_tile_6887,2
20190822065725_20190822065959_tile_7271,1
20190804115211_20190804115445_tile_8029,1
20190822155502_20190822155747_tile_4645,4
20190823151559_20190823151919_tile_5604,3
20190823094036_20190823094408_tile_10255,2
20190822095638_20190822095937_tile_7426,2
20190822145832_20190822150114_tile_9599,0
20190822163834_20190822164115_tile_7696,0
20190823144002_20190823144238_tile_10093,1
20190823073526_20190823073827_tile_7484,0
20190822093113_20190822093410_tile_503,2
20190823095600_20190823095931_tile_10982,4
20190823155824_20190823160121_tile_4552,2
20190823094036_20190823094408_tile_10258,0
20190823093548_20190823093858_tile_5493,0
20190822092635_20190822092926_tile_8358,1
20190822153558_20190822153835_tile_2527,0
20190804135937_20190804140208_tile_6560,0
20190823085011_20190823085317_tile_6937,2
20190823074026_20190823074323_tile_2198,4
20190822162621_20190822162906_tile_5651,3
20190822075657_20190822080002_tile_10705,1
20190822163834_20190822164115_tile_7709,2
20190822083256_20190822083600_tile_10916,2
20190822101452_20190822101748_tile_4387,2
20190823124221_20190823124528_tile_9866,2
20190804124749_20190804125033_tile_3681,2
20190823144405_20190823144711_tile_3329,0
20190822074720_20190822075013_tile_10043,3
20190822084226_20190822084526_tile_3222,2
20190822151523_20190822151826_tile_2909,3
20190823130736_20190823131054_tile_4275,1
20190822100953_20190822101249_tile_8843,0
20190823154802_20190823155103_tile_9767,0
20190822141600_20190822141831_tile_8895,2
20190804130928_20190804131204_tile_5129,4
20190822080151_20190822080440_tile_603,1
20190822151523_20190822151826_tile_2897,3
20190822081617_20190822081907_tile_9826,3
20190823085444_20190823085754_tile_947,0
20190822152811_20190822153054_tile_5,0
20190822100953_20190822101249_tile_8842,2
20190823150417_20190823150712_tile_10325,0
20190804120805_20190804121023_tile_6212,0
20190823075318_20190823075613_tile_5285,3
20190822090458_20190822090745_tile_6612,3
20190823085011_20190823085317_tile_6943,2
20190822080151_20190822080440_tile_614,3
20190822155502_20190822155747_tile_4654,4
20190823150417_20190823150712_tile_10323,0
20190822082538_20190822082826_tile_4158,0
20190822162621_20190822162906_tile_5654,3
20190823141123_20190823141407_tile_3129,3
20190822154658_20190822154950_tile_9382,4
20190823065938_20190823070236_tile_2140,3
20190822102956_20190822103254_tile_4098,4
20190823081159_20190823081456_tile_5217,3
20190823123151_20190823123459_tile_2313,2
20190822145028_20190822145325_tile_9232,1
20190822081617_20190822081907_tile_9810,3
20190822162246_20190822162529_tile_7647,1
20190823074026_20190823074323_tile_2209,0
20190822141103_20190822141406_tile_4971,2
20190823133754_20190823134101_tile_277,3
20190822141600_20190822141831_tile_8897,0
20190823130239_20190823130540_tile_3615,1
20190823144405_20190823144711_tile_3340,2
20190823083119_20190823083425_tile_2093,1
20190804120805_20190804121023_tile_6203,1
20190823082625_20190823082938_tile_456,1
20190822082538_20190822082826_tile_4157,2
20190823145306_20190823145612_tile_7215,1
20190822094509_20190822094813_tile_160,0
20190822155125_20190822155355_tile_7378,3
20190823075755_20190823080053_tile_10756,4
20190822144546_20190822144829_tile_7592,3
20190823151153_20190823151440_tile_6056,0
20190804135937_20190804140208_tile_6564,3
20190822154325_20190822154559_tile_9340,2
20190822153149_20190822153444_tile_1048,1
20190823162315_20190823162606_tile_7861,3
20190822084703_20190822085003_tile_1374,3
20190823131240_20190823131533_tile_7547,3
20190823082625_20190823082938_tile_447,1
20190822163021_20190822163304_tile_8466,1
20190823065505_20190823065800_tile_400,1
20190822150641_20190822150929_tile_9975,0
20190822075219_20190822075510_tile_8142,4
20190823094036_20190823094408_tile_10248,0
20190822162621_20190822162906_tile_5655,0
20190823144849_20190823145144_tile_3277,3
20190823145306_20190823145612_tile_7212,3
20190804115720_20190804115941_tile_9554,2
20190804124148_20190804124417_tile_1326,3
20190823073526_20190823073827_tile_7483,2
20190804115211_20190804115445_tile_8037,2
20190823151559_20190823151919_tile_5612,4
20190823123717_20190823124038_tile_2678,4
20190823160819_20190823161113_tile_11038,2
20190822094025_20190822094322_tile_5880,1
20190822154658_20190822154950_tile_9380,2
20190823085011_20190823085317_tile_6936,2
20190823084056_20190823084400_tile_3456,3
20190823144849_20190823145144_tile_3289,3
20190823132244_20190823132535_tile_2793,2
20190823095034_20190823095347_tile_1819,0
20190804113009_20190804113242_tile_4799,3
20190804115720_20190804115941_tile_9543,3
20190822065725_20190822065959_tile_7281,3
20190822160641_20190822160923_tile_4057,4
20190823160351_20190823160645_tile_8199,4
20190822153931_20190822154218_tile_4604,0
20190804132031_20190804132301_tile_9493,2
20190823082625_20190823082938_tile_446,4
20190804113009_20190804113242_tile_4797,4
20190822073257_20190822073557_tile_2433,4
20190804134228_20190804134450_tile_1877,2
20190822091719_20190822092011_tile_9713,4
20190822160239_20190822160529_tile_3890,4
20190822163834_20190822164115_tile_7703,3
20190804123547_20190804123823_tile_6151,0
20190823071331_20190823071608_tile_826,4
20190823085011_20190823085317_tile_6948,3
20190822143107_20190822143418_tile_1543,3
20190804124148_20190804124417_tile_1319,1
20190822082538_20190822082826_tile_4166,1
20190823074455_20190823074758_tile_10203,0
20190822163425_20190822163708_tile_6297,2
20190823133754_20190823134101_tile_292,0
20190804114132_20190804114404_tile_10827,0
20190823131240_20190823131533_tile_7536,4
20190823125732_20190823130048_tile_1917,2
20190823073047_20190823073350_tile_7969,0
20190822082047_20190822082347_tile_4315,1
20190804143846_20190804144102_tile_5706,0
20190823130736_20190823131054_tile_4269,4
20190822094509_20190822094813_tile_162,4
20190822080619_20190822080931_tile_219,3
20190823091132_20190823091448_tile_7916,1
20190823123717_20190823124038_tile_2679,2
20190823151559_20190823151919_tile_5601,0
20190823093548_20190823093858_tile_5491,0
20190823084527_20190823084841_tile_10549,1
20190823151559_20190823151919_tile_5599,2
20190822091719_20190822092011_tile_9708,2
20190804121908_20190804122131_tile_6666,2
20190823145732_20190823150016_tile_7323,3
20190804133131_20190804133356_tile_777,2
20190823153931_20190823154211_tile_6411,0
20190823130736_20190823131054_tile_4274,2
20190822083256_20190822083600_tile_10922,0
20190822092635_20190822092926_tile_8355,0
20190823091132_20190823091448_tile_7917,3
20190804123547_20190804123823_tile_6159,1
20190804120805_20190804121023_tile_6201,1
20190804120805_20190804121023_tile_6216,3
20190823083119_20190823083425_tile_2095,0
20190822134835_20190822135131_tile_4497,0
20190822100114_20190822100413_tile_676,1
20190822143107_20190822143418_tile_1549,3
20190823142111_20190823142355_tile_3940,0
20190822101929_20190822102224_tile_10381,0
20190822153931_20190822154218_tile_4592,2
20190822102427_20190822102736_tile_6096,1
20190822150641_20190822150929_tile_9972,3
20190822155502_20190822155747_tile_4641,2
20190804134228_20190804134450_tile_1869,3
20190822070143_20190822070439_tile_7111,0
20190822073257_20190822073557_tile_2423,0
20190823142111_20190823142355_tile_3937,3
20190804122434_20190804122704_tile_6461,4
20190823130239_20190823130540_tile_3623,2
20190822150221_20190822150509_tile_8518,3
20190823095034_20190823095347_tile_1810,4
20190823080717_20190823081024_tile_3059,1
20190823100116_20190823100432_tile_2375,0
20190822090458_20190822090745_tile_6623,2
20190823143529_20190823143813_tile_4440,4
20190823090045_20190823090358_tile_1004,1
20190823083559_20190823083940_tile_5938,0
20190822150221_20190822150509_tile_8526,1
20190804133131_20190804133356_tile_775,0
20190822084226_20190822084526_tile_3225,1
20190823144849_20190823145144_tile_3293,1
20190823150417_20190823150712_tile_10309,4
20190822065725_20190822065959_tile_7268,3
20190823071331_20190823071608_tile_828,1
20190822102427_20190822102736_tile_6110,4
20190822091719_20190822092011_tile_9703,3
20190822160239_20190822160529_tile_3882,0
20190822072404_20190822072642_tile_6783,1
20190823085011_20190823085317_tile_6949,3
20190804145216_20190804145445_tile_6507,4
20190823161806_20190823162129_tile_2729,3
20190822151108_20190822151351_tile_8076,2
20190823150417_20190823150712_tile_10317,3
20190823092528_20190823092835_tile_1207,0
20190823073047_20190823073350_tile_7986,0
20190823135139_20190823135448_tile_1424,1
20190822065725_20190822065959_tile_7280,3
20190822094509_20190822094813_tile_161,1
20190823081648_20190823081959_tile_4854,2
20190823072207_20190823072458_tile_5754,3
20190823155824_20190823160121_tile_4537,0
20190822082538_20190822082826_tile_4159,0
20190804135937_20190804140208_tile_6573,4
20190823082625_20190823082938_tile_436,4
20190822091156_20190822091502_tile_117,2
20190804133131_20190804133356_tile_771,1
20190822162621_20190822162906_tile_5662,2
20190822162621_20190822162906_tile_5649,4
20190823085011_20190823085317_tile_6952,1
20190823152527_20190823152847_tile_5803,2
20190822152811_20190822153054_tile_16,0
20190822101452_20190822101748_tile_4380,4
20190822151108_20190822151351_tile_8080,1
20190822155502_20190822155747_tile_4647,1
20190823154802_20190823155103_tile_9772,4
20190822074720_20190822075013_tile_10031,2
20190822085151_20190822085445_tile_554,0
20190822075219_20190822075510_tile_8136,4
20190822081617_20190822081907_tile_9815,2
20190823143529_20190823143813_tile_4425,4
20190823152057_20190823152354_tile_1260,2
20190822160239_20190822160529_tile_3880,0
20190823074455_20190823074758_tile_10196,0
20190823071743_20190823072036_tile_2619,1
20190804145216_20190804145445_tile_6516,1
20190804125251_20190804125541_tile_6891,4
20190804130422_20190804130643_tile_3173,0
20190822143107_20190822143418_tile_1548,4
20190804125251_20190804125541_tile_6899,3
20190823065505_20190823065800_tile_386,2
20190822101452_20190822101748_tile_4386,4
20190822154658_20190822154950_tile_9378,3
20190822163425_20190822163708_tile_6299,3
20190804135332_20190804135556_tile_7163,1
20190822080619_20190822080931_tile_218,2
20190822070610_20190822070846_tile_3718,3
20190823145732_20190823150016_tile_7321,1
20190822065241_20190822065541_tile_2563,1
20190804114132_20190804114404_tile_10811,3
20190823145732_20190823150016_tile_7333,4
20190823074455_20190823074758_tile_10202,3
20190823090554_20190823090904_tile_5025,2
20190822080151_20190822080440_tile_612,0
20190823135623_20190823135909_tile_1112,0
20190822142505_20190822142747_tile_6828,2
20190804124749_20190804125033_tile_3677,1
20190822142505_20190822142747_tile_6831,3
20190822080151_20190822080440_tile_607,0
20190823081159_20190823081456_tile_5225,1
20190804130928_20190804131204_tile_5132,2
20190823131744_20190823132104_tile_3505,1
20190804143251_20190804143533_tile_335,3
20190822141103_20190822141406_tile_4963,4
20190822152355_20190822152652_tile_3989,0
20190822065241_20190822065541_tile_2580,3
20190822084226_20190822084526_tile_3232,4
20190823161806_20190823162129_tile_2737,3
20190822144546_20190822144829_tile_7594,1
20190822102427_20190822102736_tile_6097,1
20190823065938_20190823070236_tile_2153,0
20190823074455_20190823074758_tile_10201,3
20190822152355_20190822152652_tile_3995,4
20190822093113_20190822093410_tile_495,0
20190823094036_20190823094408_tile_10253,2
20190822154658_20190822154950_tile_9375,1
20190823152527_20190823152847_tile_5814,4
20190822155125_20190822155355_tile_7376,0
20190822093113_20190822093410_tile_511,2
20190823065505_20190823065800_tile_381,1
20190823093023_20190823093332_tile_8957,0
20190822072817_20190822073109_tile_10137,0
20190823101748_20190823102106_tile_9448,2
20190822134328_20190822134645_tile_7057,0
20190823065938_20190823070236_tile_2147,3
20190823080717_20190823081024_tile_3063,4
20190823142111_20190823142355_tile_3951,1
20190822075657_20190822080002_tile_10698,1
20190822085151_20190822085445_tile_567,4
20190822150641_20190822150929_tile_9976,4
20190822152355_20190822152652_tile_4000,0
20190823071743_20190823072036_tile_2627,1
20190804132547_20190804132826_tile_10874,3
20190822160239_20190822160529_tile_3886,0
20190823065505_20190823065800_tile_383,0
20190822090458_20190822090745_tile_6610,4
20190822142505_20190822142747_tile_6823,2
20190804132031_20190804132301_tile_9506,2
20190822102427_20190822102736_tile_6111,0
20190822133830_20190822134118_tile_3772,0
20190823101748_20190823102106_tile_9435,4
20190822134835_20190822135131_tile_4487,2
20190822101452_20190822101748_tile_4388,2
20190822101929_20190822102224_tile_10374,3
20190823151559_20190823151919_tile_5608,0
20190822091719_20190822092011_tile_9706,2
20190822153558_20190822153835_tile_2530,4
20190822094509_20190822094813_tile_167,0
20190804122434_20190804122704_tile_6467,1
20190823085011_20190823085317_tile_6946,2
20190822160641_20190822160923_tile_4055,2
20190822082047_20190822082347_tile_4327,2
20190822090458_20190822090745_tile_6615,4
20190804134228_20190804134450_tile_1866,3
20190804120805_20190804121023_tile_6215,2
20190822100953_20190822101249_tile_8837,1
20190822101452_20190822101748_tile_4371,2
20190823152527_20190823152847_tile_5824,2
20190823090554_20190823090904_tile_5030,3
20190823133754_20190823134101_tile_283,1
20190823072627_20190823072925_tile_10490,0
20190804125251_20190804125541_tile_6878,4
20190822075657_20190822080002_tile_10699,0
20190822072404_20190822072642_tile_6770,1
20190823152527_20190823152847_tile_5820,0
20190823091635_20190823091951_tile_8785,0
20190823082625_20190823082938_tile_453,4
20190823144405_20190823144711_tile_3344,1
20190823082145_20190823082444_tile_7812,0
20190822094025_20190822094322_tile_5867,3
20190822153558_20190822153835_tile_2541,1
20190804141608_20190804141830_tile_5323,0
20190823152057_20190823152354_tile_1261,4
20190823144002_20190823144238_tile_10084,2
20190823072627_20190823072925_tile_10484,4
20190823130736_20190823131054_tile_4276,3
20190823123151_20190823123459_tile_2302,0
20190823091635_20190823091951_tile_8791,0
20190823144405_20190823144711_tile_3332,0
20190822100953_20190822101249_tile_8849,1
20190823082625_20190823082938_tile_444,3
20190823154802_20190823155103_tile_9765,3
20190823160351_20190823160645_tile_8192,4
20190823160819_20190823161113_tile_11031,1
20190822072404_20190822072642_tile_6771,1
20190822163021_20190822163304_tile_8476,2
20190823071331_20190823071608_tile_823,1
20190823145306_20190823145612_tile_7209,0
20190823073526_20190823073827_tile_7499,3
20190822163834_20190822164115_tile_7712,4
20190822085638_20190822085935_tile_10647,3
20190823093548_20190823093858_tile_5489,4
20190822071025_20190822071321_tile_725,1
20190823090554_20190823090904_tile_5023,4
20190823132244_20190823132535_tile_2789,3
20190822075657_20190822080002_tile_10707,2
20190822100953_20190822101249_tile_8854,1
20190822081617_20190822081907_tile_9824,0
20190822074720_20190822075013_tile_10027,1
20190822083256_20190822083600_tile_10915,4
20190804130928_20190804131204_tile_5137,2
20190822135802_20190822140055_tile_1763,4
20190823124221_20190823124528_tile_9879,2
20190804142736_20190804142950_tile_1158,1
20190822090458_20190822090745_tile_6620,3
20190822143613_20190822143904_tile_4923,4
20190822134835_20190822135131_tile_4481,4
20190822075219_20190822075510_tile_8139,4
20190822163425_20190822163708_tile_6314,0
20190822155125_20190822155355_tile_7379,1
20190823081648_20190823081959_tile_4853,1
20190822092149_20190822092450_tile_1700,3
20190823094036_20190823094408_tile_10251,4
20190822164803_20190822165101_tile_4215,1
20190822074237_20190822074521_tile_4757,4
20190804125251_20190804125541_tile_6888,1
20190822134328_20190822134645_tile_7047,1
20190822153149_20190822153444_tile_1047,1
20190823134629_20190823134924_tile_8239,4
20190804132031_20190804132301_tile_9502,3
20190822093113_20190822093410_tile_510,0
20190823094036_20190823094408_tile_10264,1
20190823144405_20190823144711_tile_3338,4
20190822065241_20190822065541_tile_2572,0
20190823091635_20190823091951_tile_8782,4
20190823065505_20190823065800_tile_399,4
20190822163021_20190822163304_tile_8459,1
20190823101134_20190823101448_tile_2841,3
20190822073746_20190822074042_tile_5374,1
20190823090554_20190823090904_tile_5031,4
20190822094025_20190822094322_tile_5862,1
20190822090458_20190822090745_tile_6607,0
20190823081648_20190823081959_tile_4855,3
20190822082538_20190822082826_tile_4155,3
20190823094552_20190823094850_tile_10590,2
20190823134629_20190823134924_tile_8245,1
20190822071924_20190822072224_tile_8643,0
20190823152057_20190823152354_tile_1259,3
20190823135139_20190823135448_tile_1422,2
20190822071924_20190822072224_tile_8624,3
20190823141123_20190823141407_tile_3119,2
20190822155502_20190822155747_tile_4643,4
20190822161045_20190822161339_tile_2481,0
20190823083559_20190823083940_tile_5918,1
20190822073746_20190822074042_tile_5377,0
20190822070610_20190822070846_tile_3722,0
20190822160641_20190822160923_tile_4041,0
20190822093552_20190822093843_tile_9645,4
20190822163834_20190822164115_tile_7705,1
20190822162246_20190822162529_tile_7646,4
20190822093113_20190822093410_tile_509,4
20190822094025_20190822094322_tile_5879,1
20190823154802_20190823155103_tile_9757,2
20190823153502_20190823153756_tile_3835,2
20190823152057_20190823152354_tile_1257,3
20190823125228_20190823125530_tile_8576,3
20190822162246_20190822162529_tile_7642,2
20190804143846_20190804144102_tile_5705,0
20190823093023_20190823093332_tile_8951,3
20190822065241_20190822065541_tile_2564,0
20190822091156_20190822091502_tile_104,2
20190822151523_20190822151826_tile_2899,1
20190822164803_20190822165101_tile_4211,2
20190822093552_20190822093843_tile_9662,2
20190823093548_20190823093858_tile_5506,4
20190822101452_20190822101748_tile_4389,4
20190822154325_20190822154559_tile_9324,1
20190823162315_20190823162606_tile_7879,3
